N. amostra,Dia,H:m:s,Des.h.(mm),Car.cis.(KPa),Tensão nor.,Tensão cis.
0,25/8/22,16:6:9:719,48.2,220.2,0.905609,1.65903
1,25/8/22,16:6:10:719,49.2,221.2,0.913143,1.66656
2,25/8/22,16:6:11:719,50.2,222.2,0.920677,1.6741
3,25/8/22,16:6:12:720,51.2,223.2,0.928211,1.68163
4,25/8/22,16:6:13:720,52.2,224.2,0.935746,1.68916
5,25/8/22,16:6:14:720,53.2,225.2,0.94328,1.6967
6,25/8/22,16:6:15:720,54.2,226.2,0.950814,1.70423
7,25/8/22,16:6:16:721,55.2,227.2,0.958348,1.71177
8,25/8/22,16:6:17:721,56.2,228.2,0.965882,1.7193
9,25/8/22,16:6:18:721,57.2,229.2,0.973417,1.72683
10,25/8/22,16:6:19:721,58.2,230.2,0.980951,1.73437
11,25/8/22,16:6:20:722,59.2,231.2,0.988485,1.7419
12,25/8/22,16:6:21:721,60.2,232.2,0.996019,1.74944
