N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,26/8/22,16:52:39:722,5.2,91.2
1,26/8/22,16:52:40:722,6.2,92.2
2,26/8/22,16:52:41:722,7.2,93.2
3,26/8/22,16:52:42:722,8.2,94.2
4,26/8/22,16:52:43:723,9.2,95.2
5,26/8/22,16:52:44:723,10.2,96.2
6,26/8/22,16:52:45:723,11.2,97.2
7,26/8/22,16:52:46:723,12.2,98.2
8,26/8/22,16:52:47:723,13.2,99.2
9,26/8/22,16:52:48:723,14.2,100.2
10,26/8/22,16:52:49:723,15.2,101.2
11,26/8/22,16:52:50:724,16.2,102.2
12,26/8/22,16:52:51:724,17.2,103.2
13,26/8/22,16:52:52:724,18.2,104.2
14,26/8/22,16:52:53:724,19.2,105.2
15,26/8/22,16:52:54:724,20.2,106.2
16,26/8/22,16:52:55:724,21.2,107.2
17,26/8/22,16:52:56:724,22.2,108.2
18,26/8/22,16:52:57:724,23.2,109.2
19,26/8/22,16:52:58:725,24.2,110.2
20,26/8/22,16:52:59:725,25.2,111.2
21,26/8/22,16:53:0:725,26.2,112.2
22,26/8/22,16:53:1:725,27.2,113.2
23,26/8/22,16:53:2:725,28.2,114.2
24,26/8/22,16:53:3:725,29.2,115.2
25,26/8/22,16:53:4:725,30.2,116.2
26,26/8/22,16:53:5:725,31.2,117.2
27,26/8/22,16:53:6:726,32.2,118.2
28,26/8/22,16:53:7:726,33.2,119.2
29,26/8/22,16:53:8:726,34.2,120.2
30,26/8/22,16:53:9:726,35.2,121.2
31,26/8/22,16:53:10:726,36.2,122.2
32,26/8/22,16:53:11:726,37.2,123.2
33,26/8/22,16:53:12:726,38.2,124.2
34,26/8/22,16:53:13:727,39.2,125.2
35,26/8/22,16:53:14:727,40.2,126.2
36,26/8/22,16:53:15:727,41.2,127.2
37,26/8/22,16:53:16:727,42.2,128.2
38,26/8/22,16:53:17:727,43.2,129.2
39,26/8/22,16:53:18:727,44.2,130.2
40,26/8/22,16:53:19:727,45.2,131.2
41,26/8/22,16:53:20:727,46.2,132.2
42,26/8/22,16:53:21:728,47.2,133.2
43,26/8/22,16:53:22:728,48.2,134.2
44,26/8/22,16:53:23:728,49.2,135.2
45,26/8/22,16:53:24:728,50.2,136.2
46,26/8/22,16:53:25:728,51.2,137.2
47,26/8/22,16:53:26:728,52.2,138.2
48,26/8/22,16:53:27:728,53.2,139.2
49,26/8/22,16:53:28:728,54.2,140.2
50,26/8/22,16:53:29:729,55.2,141.2
51,26/8/22,16:53:30:729,56.2,142.2
52,26/8/22,16:53:31:729,57.2,143.2
53,26/8/22,16:53:32:729,58.2,144.2
54,26/8/22,16:53:33:729,59.2,145.2
55,26/8/22,16:53:34:729,60.2,146.2
56,26/8/22,16:53:35:729,61.2,147.2
57,26/8/22,16:53:36:729,62.2,148.2
58,26/8/22,16:53:37:729,63.2,149.2
59,26/8/22,16:53:38:730,64.2,150.2
60,26/8/22,16:53:39:730,65.2,151.2
61,26/8/22,16:53:40:730,66.2,152.2
62,26/8/22,16:53:41:730,67.2,153.2
