N. amostra,Dia,H:m:s,Des.h.(mm),Car.cis.(KPa),Tensão nor.,Tensão cis.
0,25/8/22,17:19:9:752,202.2,374.2,7.12515,9.72368
1,25/8/22,17:19:10:752,203.2,375.2,7.15114,9.74967
2,25/8/22,17:19:11:752,204.2,376.2,7.17713,9.77565
3,25/8/22,17:19:12:753,205.2,377.2,7.20311,9.80164
4,25/8/22,17:19:13:753,206.2,378.2,7.2291,9.82762
5,25/8/22,17:19:14:753,207.2,379.2,7.25508,9.85361
6,25/8/22,17:19:15:753,208.2,380.2,7.28107,9.87959
7,25/8/22,17:19:16:753,209.2,381.2,7.30705,9.90558
8,25/8/22,17:19:17:753,210.2,382.2,7.33304,9.93156
9,25/8/22,17:19:18:753,211.2,383.2,7.35902,9.95755
10,25/8/22,17:19:19:753,212.2,384.2,7.38501,9.98353
11,25/8/22,17:19:20:754,213.2,385.2,7.41099,10.0095
12,25/8/22,17:19:21:754,214.2,386.2,7.43698,10.0355
13,25/8/22,17:19:22:754,215.2,387.2,7.46296,10.0615
14,25/8/22,17:19:23:754,216.2,388.2,7.48895,10.0875
15,25/8/22,17:19:24:754,217.2,389.2,7.51493,10.1135
16,25/8/22,17:19:25:755,218.2,390.2,7.54092,10.1394
17,25/8/22,17:19:26:755,219.2,391.2,7.5669,10.1654
18,25/8/22,17:19:27:755,220.2,392.2,7.59289,10.1914
19,25/8/22,17:19:28:755,221.2,393.2,7.61887,10.2174
20,25/8/22,17:19:29:755,222.2,394.2,7.64486,10.2434
21,25/8/22,17:19:30:755,223.2,395.2,7.67085,10.2694
22,25/8/22,17:19:31:755,224.2,396.2,7.69683,10.2954
23,25/8/22,17:19:32:755,225.2,397.2,7.72282,10.3213
24,25/8/22,17:19:33:755,226.2,398.2,7.7488,10.3473
25,25/8/22,17:19:34:756,227.2,399.2,7.77479,10.3733
26,25/8/22,17:19:35:756,228.2,400.2,7.80077,10.3993
27,25/8/22,17:19:36:756,229.2,401.2,7.82676,10.4253
28,25/8/22,17:19:37:756,230.2,402.2,7.85274,10.4513
29,25/8/22,17:19:38:756,231.2,403.2,7.87873,10.4773
30,25/8/22,17:19:39:756,232.2,404.2,7.90471,10.5032
31,25/8/22,17:19:40:756,233.2,405.2,7.9307,10.5292
32,25/8/22,17:19:41:756,234.2,406.2,7.95668,10.5552
33,25/8/22,17:19:42:757,235.2,407.2,7.98267,10.5812
34,25/8/22,17:19:43:757,236.2,408.2,8.00865,10.6072
35,25/8/22,17:19:44:757,237.2,409.2,8.03464,10.6332
