Variável,Valor
Nome do experimento,Experimento 3
Nome do operador,Iva
Tempo de início do experimento (s),25/8/2022 17H:42min:43seg:106ms
Tempo atual (s),25/8/22 17:42:43:110
Tipo de teste,Teso tipo 2
Tipo de espécime,Espme do tipo 2
Classe USCS,Cla uscs 35
Classe ASHTO,Clae ashto 3
Preparações da amostra,Nenma preparação
Id da amostra,123
Número do furo,12
Localização da amostra,Locação da amostra
Descrição da amostra,Descrição da amostra
Altura inicial (cm),500
Peso úmido inicial (g),2
Umidade inicial (%),3
Peso específico dos sólidos (g/cm³),4
Limite de plasticidade (%),5
Limite de liquidez (%),6
Posição inicial (cm),0
Diamêtro (cm),7
Pressão,38.4834
Área (cm²),19241.7
Volume inicial (cm³),38483.4
Massa específica úmida inicial da amostra de solo (g/cm³),37362.5
Massa específica seca inicial da amostra de solo (g/cm³),-0.999893
Índice de vazios,1.09
Peso Específico da água,-11.0104
Saturação inicial da amostra de solo (%),8
