Variável,Valor
Nome do experimento,Experimento 10
Nome do operador,Luisa e
Tempo de início do experimento (s),26/8/2022 16H:52min:39seg:620ms
Tempo atual (s),26/8/22 16:52:39:652
Tipo de teste,Teste do tipo 00005
Tipo de espécime,Espécime do tipo 0000
Classe USCS,Cla uscs 0000
Classe ASHTO,Clae ashto 0000
Preparações da amostra,Nenma preparação
Id da amostra,456
Número do furo,21
Localização da amostra,Locação da amostra
Descrição da amostra,Descrição da amostra
Altura inicial (cm),5
Peso úmido inicial (g),8
Umidade inicial (%),2
Peso específico dos sólidos (g/cm³),3
Limite de plasticidade (%),4
Limite de liquidez (%),12
Posição inicial (cm),17.2
Diamêtro (cm),1
Pressão,0.785375
Área (cm²),3.92688
Volume inicial (cm³),31.415
Massa específica úmida inicial da amostra de solo (g/cm³),30.799
Massa específica seca inicial da amostra de solo (g/cm³),-0.902594
Índice de vazios,1.09
Peso Específico da água,-6.09863
Saturação inicial da amostra de solo (%),14
