N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,25/8/22,17:22:3:392,14.2,100.2
1,25/8/22,17:22:4:393,15.2,101.2
2,25/8/22,17:22:5:393,16.2,102.2
3,25/8/22,17:22:6:393,17.2,103.2
4,25/8/22,17:22:7:393,18.2,104.2
5,25/8/22,17:22:8:393,19.2,105.2
6,25/8/22,17:22:9:393,20.2,106.2
7,25/8/22,17:22:10:393,21.2,107.2
8,25/8/22,17:22:11:393,22.2,108.2
9,25/8/22,17:22:12:394,23.2,109.2
10,25/8/22,17:22:13:394,24.2,110.2
11,25/8/22,17:22:14:394,25.2,111.2
12,25/8/22,17:22:15:394,26.2,112.2
13,25/8/22,17:22:16:394,27.2,113.2
14,25/8/22,17:22:17:395,28.2,114.2
15,25/8/22,17:22:18:395,29.2,115.2
16,25/8/22,17:22:19:395,30.2,116.2
17,25/8/22,17:22:20:395,31.2,117.2
18,25/8/22,17:22:21:395,32.2,118.2
19,25/8/22,17:22:22:395,33.2,119.2
20,25/8/22,17:22:23:395,34.2,120.2
21,25/8/22,17:22:24:395,35.2,121.2
22,25/8/22,17:22:25:396,36.2,122.2
23,25/8/22,17:22:26:396,37.2,123.2
24,25/8/22,17:22:27:396,38.2,124.2
25,25/8/22,17:22:28:396,39.2,125.2
26,25/8/22,17:22:29:396,40.2,126.2
27,25/8/22,17:22:30:396,41.2,127.2
28,25/8/22,17:22:31:397,42.2,128.2
29,25/8/22,17:22:32:397,43.2,129.2
30,25/8/22,17:22:33:397,44.2,130.2
31,25/8/22,17:22:34:397,45.2,131.2
32,25/8/22,17:22:35:397,46.2,132.2
33,25/8/22,17:22:36:397,47.2,133.2
34,25/8/22,17:22:37:398,48.2,134.2
35,25/8/22,17:22:38:398,49.2,135.2
36,25/8/22,17:22:39:398,50.2,136.2
37,25/8/22,17:22:40:398,51.2,137.2
38,25/8/22,17:22:41:398,52.2,138.2
39,25/8/22,17:22:42:398,53.2,139.2
40,25/8/22,17:22:43:398,54.2,140.2
41,25/8/22,17:22:44:398,55.2,141.2
42,25/8/22,17:22:45:398,56.2,142.2
43,25/8/22,17:22:46:399,57.2,143.2
44,25/8/22,17:22:47:399,58.2,144.2
45,25/8/22,17:22:48:399,59.2,145.2
46,25/8/22,17:22:49:399,60.2,146.2
47,25/8/22,17:22:50:399,61.2,147.2
48,25/8/22,17:22:51:399,62.2,148.2
49,25/8/22,17:22:52:399,63.2,149.2
50,25/8/22,17:22:53:399,64.2,150.2
51,25/8/22,17:22:54:400,65.2,151.2
52,25/8/22,17:22:55:400,66.2,152.2
53,25/8/22,17:22:56:400,67.2,153.2
54,25/8/22,17:22:57:400,68.2,154.2
55,25/8/22,17:22:58:400,69.2,155.2
56,25/8/22,17:22:59:400,70.2,156.2
57,25/8/22,17:23:0:400,71.2,157.2
58,25/8/22,17:23:1:400,72.2,158.2
59,25/8/22,17:23:2:400,73.2,159.2
60,25/8/22,17:23:3:400,74.2,160.2
61,25/8/22,17:23:4:400,75.2,161.2
62,25/8/22,17:23:5:401,76.2,162.2
63,25/8/22,17:23:6:401,77.2,163.2
64,25/8/22,17:23:7:401,78.2,164.2
65,25/8/22,17:23:8:401,79.2,165.2
66,25/8/22,17:23:9:401,80.2,166.2
67,25/8/22,17:23:10:401,81.2,167.2
68,25/8/22,17:23:11:402,82.2,168.2
69,25/8/22,17:23:12:402,83.2,169.2
70,25/8/22,17:23:13:402,84.2,170.2
71,25/8/22,17:23:14:402,85.2,171.2
72,25/8/22,17:23:15:402,86.2,172.2
73,25/8/22,17:23:16:402,87.2,173.2
74,25/8/22,17:23:17:402,88.2,174.2
75,25/8/22,17:23:18:402,89.2,175.2
76,25/8/22,17:23:19:403,90.2,176.2
77,25/8/22,17:23:20:403,91.2,177.2
78,25/8/22,17:23:21:403,92.2,178.2
79,25/8/22,17:23:22:403,93.2,179.2
80,25/8/22,17:23:23:403,94.2,180.2
81,25/8/22,17:23:24:403,95.2,181.2
82,25/8/22,17:23:25:403,96.2,182.2
83,25/8/22,17:23:26:403,97.2,183.2
84,25/8/22,17:23:27:404,98.2,184.2
85,25/8/22,17:23:28:404,99.2,185.2
86,25/8/22,17:23:29:404,100.2,186.2
87,25/8/22,17:23:30:404,101.2,187.2
88,25/8/22,17:23:31:404,102.2,188.2
89,25/8/22,17:23:32:404,103.2,189.2
90,25/8/22,17:23:33:404,104.2,190.2
91,25/8/22,17:23:34:404,105.2,191.2
92,25/8/22,17:23:35:405,106.2,192.2
93,25/8/22,17:23:36:405,107.2,193.2
94,25/8/22,17:23:37:405,108.2,194.2
