N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,25/8/22,16:14:16:428,14.2,100.2
1,25/8/22,16:14:17:428,15.2,101.2
2,25/8/22,16:14:18:428,16.2,102.2
3,25/8/22,16:14:19:428,17.2,103.2
4,25/8/22,16:14:20:428,18.2,104.2
5,25/8/22,16:14:21:429,19.2,105.2
6,25/8/22,16:14:22:429,20.2,106.2
7,25/8/22,16:14:23:429,21.2,107.2
8,25/8/22,16:14:24:429,22.2,108.2
9,25/8/22,16:14:25:429,23.2,109.2
10,25/8/22,16:14:26:430,24.2,110.2
11,25/8/22,16:14:27:430,25.2,111.2
12,25/8/22,16:14:28:430,26.2,112.2
13,25/8/22,16:14:29:430,27.2,113.2
14,25/8/22,16:14:30:431,28.2,114.2
15,25/8/22,16:14:31:431,29.2,115.2
16,25/8/22,16:14:32:431,30.2,116.2
17,25/8/22,16:14:33:431,31.2,117.2
18,25/8/22,16:14:34:431,32.2,118.2
19,25/8/22,16:14:35:431,33.2,119.2
20,25/8/22,16:14:36:432,34.2,120.2
21,25/8/22,16:14:37:432,35.2,121.2
22,25/8/22,16:14:38:432,36.2,122.2
23,25/8/22,16:14:39:432,37.2,123.2
24,25/8/22,16:14:40:432,38.2,124.2
25,25/8/22,16:14:41:433,39.2,125.2
26,25/8/22,16:14:42:433,40.2,126.2
27,25/8/22,16:14:43:433,41.2,127.2
28,25/8/22,16:14:44:433,42.2,128.2
29,25/8/22,16:14:45:433,43.2,129.2
30,25/8/22,16:14:46:434,44.2,130.2
31,25/8/22,16:14:47:434,45.2,131.2
32,25/8/22,16:14:48:434,46.2,132.2
33,25/8/22,16:14:49:434,47.2,133.2
34,25/8/22,16:14:50:434,48.2,134.2
35,25/8/22,16:14:51:434,49.2,135.2
36,25/8/22,16:14:52:435,50.2,136.2
37,25/8/22,16:14:53:435,51.2,137.2
38,25/8/22,16:14:54:435,52.2,138.2
39,25/8/22,16:14:55:435,53.2,139.2
40,25/8/22,16:14:56:436,54.2,140.2
41,25/8/22,16:14:57:436,55.2,141.2
42,25/8/22,16:14:58:436,56.2,142.2
43,25/8/22,16:14:59:436,57.2,143.2
44,25/8/22,16:15:0:436,58.2,144.2
45,25/8/22,16:15:1:437,59.2,145.2
46,25/8/22,16:15:2:437,60.2,146.2
47,25/8/22,16:15:3:437,61.2,147.2
48,25/8/22,16:15:4:437,62.2,148.2
49,25/8/22,16:15:5:437,63.2,149.2
50,25/8/22,16:15:6:437,64.2,150.2
51,25/8/22,16:15:7:438,65.2,151.2
52,25/8/22,16:15:8:438,66.2,152.2
53,25/8/22,16:15:9:438,67.2,153.2
54,25/8/22,16:15:10:438,68.2,154.2
55,25/8/22,16:15:11:438,69.2,155.2
56,25/8/22,16:15:12:439,70.2,156.2
57,25/8/22,16:15:13:439,71.2,157.2
58,25/8/22,16:15:14:439,72.2,158.2
