N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,26/8/22,16:47:48:1,12.2,98.2
1,26/8/22,16:47:49:1,13.2,99.2
2,26/8/22,16:47:50:1,14.2,100.2
3,26/8/22,16:47:51:1,15.2,101.2
4,26/8/22,16:47:52:1,16.2,102.2
5,26/8/22,16:47:53:1,17.2,103.2
6,26/8/22,16:47:54:2,18.2,104.2
7,26/8/22,16:47:55:2,19.2,105.2
8,26/8/22,16:47:56:2,20.2,106.2
9,26/8/22,16:47:57:2,21.2,107.2
10,26/8/22,16:47:58:2,22.2,108.2
11,26/8/22,16:47:59:2,23.2,109.2
12,26/8/22,16:48:0:2,24.2,110.2
13,26/8/22,16:48:1:2,25.2,111.2
14,26/8/22,16:48:2:3,26.2,112.2
15,26/8/22,16:48:3:3,27.2,113.2
16,26/8/22,16:48:4:3,28.2,114.2
17,26/8/22,16:48:5:3,29.2,115.2
18,26/8/22,16:48:6:3,30.2,116.2
19,26/8/22,16:48:7:3,31.2,117.2
20,26/8/22,16:48:8:3,32.2,118.2
21,26/8/22,16:48:9:3,33.2,119.2
22,26/8/22,16:48:10:3,34.2,120.2
23,26/8/22,16:48:11:3,35.2,121.2
24,26/8/22,16:48:12:4,36.2,122.2
25,26/8/22,16:48:13:4,37.2,123.2
26,26/8/22,16:48:14:4,38.2,124.2
