N. amostra,Dia,H:m:s,Des.h.(mm),Car.cis.(KPa),Tensão nor.,Tensão cis.
0,25/8/22,17:16:18:756,34.2,206.2,0.80013,1.55355
1,25/8/22,17:16:19:756,35.2,207.2,0.807664,1.56108
2,25/8/22,17:16:20:756,36.2,208.2,0.815199,1.56862
3,25/8/22,17:16:21:756,37.2,209.2,0.822733,1.57615
4,25/8/22,17:16:22:756,38.2,210.2,0.830267,1.58369
5,25/8/22,17:16:23:756,39.2,211.2,0.837801,1.59122
6,25/8/22,17:16:24:756,40.2,212.2,0.845335,1.59875
7,25/8/22,17:16:25:757,41.2,213.2,0.85287,1.60629
8,25/8/22,17:16:26:756,42.2,214.2,0.860404,1.61382
9,25/8/22,17:16:27:757,43.2,215.2,0.867938,1.62136
10,25/8/22,17:16:28:757,44.2,216.2,0.875472,1.62889
11,25/8/22,17:16:29:757,45.2,217.2,0.883006,1.63642
12,25/8/22,17:16:30:757,46.2,218.2,0.89054,1.64396
13,25/8/22,17:16:31:757,47.2,219.2,0.898075,1.65149
14,25/8/22,17:16:32:757,48.2,220.2,0.905609,1.65903
15,25/8/22,17:16:33:757,49.2,221.2,0.913143,1.66656
16,25/8/22,17:16:34:758,50.2,222.2,0.920677,1.6741
17,25/8/22,17:16:35:758,51.2,223.2,0.928211,1.68163
18,25/8/22,17:16:36:758,52.2,224.2,0.935746,1.68916
19,25/8/22,17:16:37:758,53.2,225.2,0.94328,1.6967
20,25/8/22,17:16:38:758,54.2,226.2,0.950814,1.70423
21,25/8/22,17:16:39:758,55.2,227.2,0.958348,1.71177
22,25/8/22,17:16:40:758,56.2,228.2,0.965882,1.7193
23,25/8/22,17:16:41:759,57.2,229.2,0.973417,1.72683
24,25/8/22,17:16:42:759,58.2,230.2,0.980951,1.73437
25,25/8/22,17:16:43:759,59.2,231.2,0.988485,1.7419
26,25/8/22,17:16:44:759,60.2,232.2,0.996019,1.74944
27,25/8/22,17:16:45:759,61.2,233.2,1.00355,1.75697
28,25/8/22,17:16:46:759,62.2,234.2,1.01109,1.76451
29,25/8/22,17:16:47:760,63.2,235.2,1.01862,1.77204
30,25/8/22,17:16:48:760,64.2,236.2,1.02616,1.77957
31,25/8/22,17:16:49:760,65.2,237.2,1.03369,1.78711
