N. amostra,Dia,H:m:s,Des.h.(mm),Car.cis.(KPa),Tensão nor.,Tensão cis.
0,25/8/22,16:17:2:540,194.2,366.2,6.91727,9.5158
1,25/8/22,16:17:3:540,195.2,367.2,6.94326,9.54178
2,25/8/22,16:17:4:540,196.2,368.2,6.96924,9.56777
3,25/8/22,16:17:5:540,197.2,369.2,6.99523,9.59375
4,25/8/22,16:17:6:540,198.2,370.2,7.02121,9.61974
5,25/8/22,16:17:7:540,199.2,371.2,7.0472,9.64572
6,25/8/22,16:17:8:541,200.2,372.2,7.07318,9.67171
7,25/8/22,16:17:9:541,201.2,373.2,7.09917,9.69769
8,25/8/22,16:17:10:541,202.2,374.2,7.12515,9.72368
9,25/8/22,16:17:11:541,203.2,375.2,7.15114,9.74967
