N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,25/8/22,17:17:49:738,108.2,194.2
1,25/8/22,17:17:50:739,109.2,195.2
2,25/8/22,17:17:51:739,110.2,196.2
3,25/8/22,17:17:52:739,111.2,197.2
4,25/8/22,17:17:53:739,112.2,198.2
5,25/8/22,17:17:54:739,113.2,199.2
6,25/8/22,17:17:55:739,114.2,200.2
7,25/8/22,17:17:56:739,115.2,201.2
8,25/8/22,17:17:57:739,116.2,202.2
9,25/8/22,17:17:58:740,117.2,203.2
10,25/8/22,17:17:59:740,118.2,204.2
11,25/8/22,17:18:0:740,119.2,205.2
12,25/8/22,17:18:1:740,120.2,206.2
13,25/8/22,17:18:2:740,121.2,207.2
14,25/8/22,17:18:3:740,122.2,208.2
15,25/8/22,17:18:4:740,123.2,209.2
16,25/8/22,17:18:5:740,124.2,210.2
17,25/8/22,17:18:6:741,125.2,211.2
18,25/8/22,17:18:7:741,126.2,212.2
19,25/8/22,17:18:8:741,127.2,213.2
20,25/8/22,17:18:9:741,128.2,214.2
21,25/8/22,17:18:10:741,129.2,215.2
22,25/8/22,17:18:11:741,130.2,216.2
23,25/8/22,17:18:12:741,131.2,217.2
24,25/8/22,17:18:13:742,132.2,218.2
25,25/8/22,17:18:14:742,133.2,219.2
26,25/8/22,17:18:15:742,134.2,220.2
27,25/8/22,17:18:16:742,135.2,221.2
28,25/8/22,17:18:17:742,136.2,222.2
29,25/8/22,17:18:18:742,137.2,223.2
30,25/8/22,17:18:19:743,138.2,224.2
31,25/8/22,17:18:20:743,139.2,225.2
32,25/8/22,17:18:21:743,140.2,226.2
33,25/8/22,17:18:22:743,141.2,227.2
34,25/8/22,17:18:23:743,142.2,228.2
35,25/8/22,17:18:24:744,143.2,229.2
36,25/8/22,17:18:25:744,144.2,230.2
37,25/8/22,17:18:26:744,145.2,231.2
38,25/8/22,17:18:27:744,146.2,232.2
39,25/8/22,17:18:28:744,147.2,233.2
40,25/8/22,17:18:29:745,148.2,234.2
41,25/8/22,17:18:30:745,149.2,235.2
42,25/8/22,17:18:31:745,150.2,236.2
43,25/8/22,17:18:32:745,151.2,237.2
44,25/8/22,17:18:33:746,152.2,238.2
45,25/8/22,17:18:34:746,153.2,239.2
46,25/8/22,17:18:35:746,154.2,240.2
47,25/8/22,17:18:36:746,155.2,241.2
48,25/8/22,17:18:37:747,156.2,242.2
49,25/8/22,17:18:38:747,157.2,243.2
50,25/8/22,17:18:39:747,158.2,244.2
51,25/8/22,17:18:40:747,159.2,245.2
52,25/8/22,17:18:41:747,160.2,246.2
