N. amostra,Dia,H:m:s,Des.h.(mm),Car.cis.(KPa),Tensão nor.,Tensão cis.
0,25/8/22,17:23:6:401,91.2,263.2,1.22958,1.983
1,25/8/22,17:23:7:401,92.2,264.2,1.23711,1.99053
2,25/8/22,17:23:8:401,93.2,265.2,1.24465,1.99807
3,25/8/22,17:23:9:401,94.2,266.2,1.25218,2.0056
4,25/8/22,17:23:10:401,95.2,267.2,1.25972,2.01313
5,25/8/22,17:23:11:402,96.2,268.2,1.26725,2.02067
6,25/8/22,17:23:12:402,97.2,269.2,1.27478,2.0282
7,25/8/22,17:23:13:402,98.2,270.2,1.28232,2.03574
8,25/8/22,17:23:14:402,99.2,271.2,1.28985,2.04327
9,25/8/22,17:23:15:402,100.2,272.2,1.29739,2.0508
10,25/8/22,17:23:16:402,101.2,273.2,1.30492,2.05834
11,25/8/22,17:23:17:402,102.2,274.2,1.31245,2.06587
12,25/8/22,17:23:18:402,103.2,275.2,1.31999,2.07341
13,25/8/22,17:23:19:403,104.2,276.2,1.32752,2.08094
14,25/8/22,17:23:20:403,105.2,277.2,1.33506,2.08848
15,25/8/22,17:23:21:403,106.2,278.2,1.34259,2.09601
16,25/8/22,17:23:22:403,107.2,279.2,1.35013,2.10354
17,25/8/22,17:23:23:403,108.2,280.2,1.35766,2.11108
18,25/8/22,17:23:24:403,109.2,281.2,1.36519,2.11861
19,25/8/22,17:23:25:403,110.2,282.2,1.37273,2.12615
20,25/8/22,17:23:26:403,111.2,283.2,1.38026,2.13368
21,25/8/22,17:23:27:404,112.2,284.2,1.3878,2.14122
22,25/8/22,17:23:28:404,113.2,285.2,1.39533,2.14875
23,25/8/22,17:23:29:404,114.2,286.2,1.40287,2.15628
24,25/8/22,17:23:30:404,115.2,287.2,1.4104,2.16382
25,25/8/22,17:23:31:404,116.2,288.2,1.41793,2.17135
26,25/8/22,17:23:32:404,117.2,289.2,1.42547,2.17889
27,25/8/22,17:23:33:404,118.2,290.2,1.433,2.18642
28,25/8/22,17:23:34:404,119.2,291.2,1.44054,2.19395
29,25/8/22,17:23:35:405,120.2,292.2,1.44807,2.20149
30,25/8/22,17:23:36:405,121.2,293.2,1.4556,2.20902
31,25/8/22,17:23:37:405,122.2,294.2,1.46314,2.21656
32,25/8/22,17:23:38:405,123.2,295.2,1.47067,2.22409
33,25/8/22,17:23:39:405,124.2,296.2,1.47821,2.23163
34,25/8/22,17:23:40:405,125.2,297.2,1.48574,2.23916
35,25/8/22,17:23:41:406,126.2,298.2,1.49328,2.24669
36,25/8/22,17:23:42:406,127.2,299.2,1.50081,2.25423
37,25/8/22,17:23:43:406,128.2,300.2,1.50834,2.26176
38,25/8/22,17:23:44:406,129.2,301.2,1.51588,2.2693
39,25/8/22,17:23:45:406,130.2,302.2,1.52341,2.27683
40,25/8/22,17:23:46:406,131.2,303.2,1.53095,2.28436
