N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,26/8/22,17:3:17:458,79.2,165.2
1,26/8/22,17:3:18:458,80.2,166.2
2,26/8/22,17:3:19:458,81.2,167.2
3,26/8/22,17:3:20:458,82.2,168.2
4,26/8/22,17:3:21:459,83.2,169.2
5,26/8/22,17:3:22:459,84.2,170.2
6,26/8/22,17:3:23:459,85.2,171.2
7,26/8/22,17:3:24:459,86.2,172.2
8,26/8/22,17:3:25:459,87.2,173.2
9,26/8/22,17:3:26:459,88.2,174.2
10,26/8/22,17:3:27:459,89.2,175.2
11,26/8/22,17:3:28:459,90.2,176.2
12,26/8/22,17:3:29:460,91.2,177.2
13,26/8/22,17:3:30:460,92.2,178.2
14,26/8/22,17:3:31:460,93.2,179.2
