N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,25/8/22,17:56:44:577,14.2,100.2
1,25/8/22,17:56:45:577,15.2,101.2
2,25/8/22,17:56:46:577,16.2,102.2
3,25/8/22,17:56:47:577,17.2,103.2
4,25/8/22,17:56:48:577,18.2,104.2
5,25/8/22,17:56:49:578,19.2,105.2
6,25/8/22,17:56:50:578,20.2,106.2
7,25/8/22,17:56:51:578,21.2,107.2
8,25/8/22,17:56:52:578,22.2,108.2
9,25/8/22,17:56:53:578,23.2,109.2
10,25/8/22,17:56:54:579,24.2,110.2
11,25/8/22,17:56:55:579,25.2,111.2
12,25/8/22,17:56:56:579,26.2,112.2
13,25/8/22,17:56:57:579,27.2,113.2
14,25/8/22,17:56:58:579,28.2,114.2
15,25/8/22,17:56:59:579,29.2,115.2
16,25/8/22,17:57:0:579,30.2,116.2
17,25/8/22,17:57:1:579,31.2,117.2
18,25/8/22,17:57:2:579,32.2,118.2
19,25/8/22,17:57:3:580,33.2,119.2
20,25/8/22,17:57:4:580,34.2,120.2
21,25/8/22,17:57:5:580,35.2,121.2
22,25/8/22,17:57:6:580,36.2,122.2
23,25/8/22,17:57:7:580,37.2,123.2
24,25/8/22,17:57:8:580,38.2,124.2
