N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,26/8/22,12:12:28:289,18.2,104.2
1,26/8/22,12:12:29:289,19.2,105.2
2,26/8/22,12:12:30:289,20.2,106.2
3,26/8/22,12:12:31:290,21.2,107.2
4,26/8/22,12:12:32:290,22.2,108.2
5,26/8/22,12:12:33:290,23.2,109.2
6,26/8/22,12:12:34:290,24.2,110.2
7,26/8/22,12:12:35:290,25.2,111.2
8,26/8/22,12:12:36:290,26.2,112.2
9,26/8/22,12:12:37:291,27.2,113.2
10,26/8/22,12:12:38:291,28.2,114.2
11,26/8/22,12:12:39:291,29.2,115.2
12,26/8/22,12:12:40:291,30.2,116.2
13,26/8/22,12:12:41:291,31.2,117.2
14,26/8/22,12:12:42:291,32.2,118.2
15,26/8/22,12:12:43:292,33.2,119.2
16,26/8/22,12:12:44:292,34.2,120.2
17,26/8/22,12:12:45:292,35.2,121.2
18,26/8/22,12:12:46:292,36.2,122.2
19,26/8/22,12:12:47:292,37.2,123.2
20,26/8/22,12:12:48:292,38.2,124.2
21,26/8/22,12:12:49:292,39.2,125.2
22,26/8/22,12:12:50:293,40.2,126.2
23,26/8/22,12:12:51:293,41.2,127.2
24,26/8/22,12:12:52:293,42.2,128.2
25,26/8/22,12:12:53:293,43.2,129.2
26,26/8/22,12:12:54:293,44.2,130.2
27,26/8/22,12:12:55:293,45.2,131.2
28,26/8/22,12:12:56:293,46.2,132.2
29,26/8/22,12:12:57:293,47.2,133.2
30,26/8/22,12:12:58:293,48.2,134.2
31,26/8/22,12:12:59:294,49.2,135.2
32,26/8/22,12:13:0:294,50.2,136.2
33,26/8/22,12:13:1:294,51.2,137.2
34,26/8/22,12:13:2:294,52.2,138.2
35,26/8/22,12:13:3:294,53.2,139.2
36,26/8/22,12:13:4:294,54.2,140.2
37,26/8/22,12:13:5:294,55.2,141.2
38,26/8/22,12:13:6:295,56.2,142.2
39,26/8/22,12:13:7:295,57.2,143.2
40,26/8/22,12:13:8:295,58.2,144.2
41,26/8/22,12:13:9:295,59.2,145.2
42,26/8/22,12:13:10:295,60.2,146.2
43,26/8/22,12:13:11:295,61.2,147.2
44,26/8/22,12:13:12:295,62.2,148.2
45,26/8/22,12:13:13:295,63.2,149.2
46,26/8/22,12:13:14:296,64.2,150.2
47,26/8/22,12:13:15:296,65.2,151.2
48,26/8/22,12:13:16:296,66.2,152.2
49,26/8/22,12:13:17:296,67.2,153.2
50,26/8/22,12:13:18:296,68.2,154.2
51,26/8/22,12:13:19:296,69.2,155.2
52,26/8/22,12:13:20:296,70.2,156.2
53,26/8/22,12:13:21:296,71.2,157.2
54,26/8/22,12:13:22:297,72.2,158.2
55,26/8/22,12:13:23:297,73.2,159.2
56,26/8/22,12:13:24:297,74.2,160.2
57,26/8/22,12:13:25:297,75.2,161.2
58,26/8/22,12:13:26:297,76.2,162.2
59,26/8/22,12:13:27:297,77.2,163.2
60,26/8/22,12:13:28:297,78.2,164.2
61,26/8/22,12:13:29:298,79.2,165.2
62,26/8/22,12:13:30:298,80.2,166.2
63,26/8/22,12:13:31:298,81.2,167.2
64,26/8/22,12:13:32:298,82.2,168.2
65,26/8/22,12:13:33:298,83.2,169.2
66,26/8/22,12:13:34:298,84.2,170.2
67,26/8/22,12:13:35:298,85.2,171.2
68,26/8/22,12:13:36:298,86.2,172.2
69,26/8/22,12:13:37:299,87.2,173.2
70,26/8/22,12:13:38:299,88.2,174.2
71,26/8/22,12:13:39:299,89.2,175.2
72,26/8/22,12:13:40:299,90.2,176.2
73,26/8/22,12:13:41:299,91.2,177.2
74,26/8/22,12:13:42:299,92.2,178.2
75,26/8/22,12:13:43:299,93.2,179.2
76,26/8/22,12:13:44:299,94.2,180.2
77,26/8/22,12:13:45:299,95.2,181.2
78,26/8/22,12:13:46:300,96.2,182.2
79,26/8/22,12:13:47:300,97.2,183.2
80,26/8/22,12:13:48:300,98.2,184.2
81,26/8/22,12:13:49:300,99.2,185.2
82,26/8/22,12:13:50:300,100.2,186.2
83,26/8/22,12:13:51:300,101.2,187.2
84,26/8/22,12:13:52:300,102.2,188.2
85,26/8/22,12:13:53:301,103.2,189.2
86,26/8/22,12:13:54:301,104.2,190.2
87,26/8/22,12:13:55:301,105.2,191.2
88,26/8/22,12:13:56:301,106.2,192.2
89,26/8/22,12:13:57:301,107.2,193.2
90,26/8/22,12:13:58:301,108.2,194.2
91,26/8/22,12:13:59:301,109.2,195.2
92,26/8/22,12:14:0:302,110.2,196.2
93,26/8/22,12:14:1:302,111.2,197.2
94,26/8/22,12:14:2:302,112.2,198.2
95,26/8/22,12:14:3:302,113.2,199.2
96,26/8/22,12:14:4:302,114.2,200.2
