N. amostra,Dia,H:m:s,Des.h.(mm),Car.cis.(KPa),Tensão nor.,Tensão cis.
0,26/8/22,17:1:37:202,64.2,236.2,1.02616,1.77957
1,26/8/22,17:1:38:202,65.2,237.2,1.03369,1.78711
2,26/8/22,17:1:39:203,66.2,238.2,1.04122,1.79464
3,26/8/22,17:1:40:203,67.2,239.2,1.04876,1.80218
4,26/8/22,17:1:41:203,68.2,240.2,1.05629,1.80971
5,26/8/22,17:1:42:203,69.2,241.2,1.06383,1.81725
6,26/8/22,17:1:43:203,70.2,242.2,1.07136,1.82478
7,26/8/22,17:1:44:203,71.2,243.2,1.0789,1.83231
8,26/8/22,17:1:45:203,72.2,244.2,1.08643,1.83985
9,26/8/22,17:1:46:203,73.2,245.2,1.09396,1.84738
10,26/8/22,17:1:47:204,74.2,246.2,1.1015,1.85492
11,26/8/22,17:1:48:204,75.2,247.2,1.10903,1.86245
12,26/8/22,17:1:49:204,76.2,248.2,1.11657,1.86998
13,26/8/22,17:1:50:204,77.2,249.2,1.1241,1.87752
14,26/8/22,17:1:51:204,78.2,250.2,1.13163,1.88505
15,26/8/22,17:1:52:204,79.2,251.2,1.13917,1.89259
