N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
0,25/8/22,16:15:57:529,115.2,201.2
1,25/8/22,16:15:58:529,116.2,202.2
2,25/8/22,16:15:59:529,117.2,203.2
3,25/8/22,16:16:0:529,118.2,204.2
4,25/8/22,16:16:1:529,119.2,205.2
5,25/8/22,16:16:2:529,120.2,206.2
6,25/8/22,16:16:3:530,121.2,207.2
7,25/8/22,16:16:4:530,122.2,208.2
8,25/8/22,16:16:5:530,123.2,209.2
9,25/8/22,16:16:6:530,124.2,210.2
10,25/8/22,16:16:7:531,125.2,211.2
11,25/8/22,16:16:8:531,126.2,212.2
12,25/8/22,16:16:9:531,127.2,213.2
13,25/8/22,16:16:10:531,128.2,214.2
14,25/8/22,16:16:11:531,129.2,215.2
15,25/8/22,16:16:12:532,130.2,216.2
16,25/8/22,16:16:13:532,131.2,217.2
17,25/8/22,16:16:14:532,132.2,218.2
18,25/8/22,16:16:15:532,133.2,219.2
19,25/8/22,16:16:16:532,134.2,220.2
20,25/8/22,16:16:17:532,135.2,221.2
